股票代码,行业名称,细分行业名称,概念板块,风格板块,指数板块,特殊板块,板块总数,市场位置摘要
sz002236,IT设备,安防设备,5G概念、AI智能体、DeepSeek、MicroLED、MiniLED、OLED概念、PPP概念、东数西算、乡村振兴、人工智能、低空经济、信创、信息安全、充电桩、养老概念、华为算力、华为鸿蒙、卫星导航、国产软件、多模态AI、存储芯片、安防服务、工业互联、数字孪生、数据中心、数据要素、新型工业、无人机、无人驾驶、时空数据、星闪概念、智慧城市、智能交通、智能家居、智能机器、智能电网、机器视觉、毫米雷达、水利建设、汽车电子、物联网、腾讯概念、虚拟现实、超清视频、车联网、边缘计算、远程办公,MSCI成份、员工持股、密集调研、社保重仓、证金汇金、近已解禁、非周期股、高应收款,300ESG、300非周、中创100、中小100、中小300、中盘价值、中证200、中证800、分析师指、创新100、国证价值、数字经济、新硬件、沪深300、消费100、深主板50、深证100、深证300、深证价值、深证创新、深证治理、深证红利、科技100、腾讯济安,中证A500、深港通SZ、深证成指、融资融券、转融券,84,行业位置：IT设备/安防设备；相关概念：5G概念、AI智能体、DeepSeek、MicroLED、MiniLED；风格标签：MSCI成份、员工持股、密集调研、社保重仓；指数归属：300ESG、300非周、中创100、中小100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz000063,通信设备,系统设备,5G概念、6G概念、AI医疗、AI手机PC、AI智能体、AI眼镜、ChatGPT、DeepSeek、东数西算、云计算、人工智能、人形机器、低空经济、信息安全、储能、元宇宙、光通信、区块链、卫星导航、含H股、商业航天、国产软件、多模态AI、抖音概念、数据中心、新能源车、无人机、星闪概念、智慧城市、智能机器、智能穿戴、水利建设、汽车电子、消费电子、液冷服务、物联网、百度概念、粤港澳、腾讯概念、芯片、虚拟现实、车联网、边缘计算、量子科技、锂电池,MSCI成份、保险重仓、北上重仓、回购计划、大盘股、行业龙头、证金汇金、通达信热、非周期股、高应收款,300ESG、300非周、中华A80、中证100、中证800、中证A100、中证龙头、分析师指、国证算力、数字经济、民企100、沪深300、消费100、深主板50、深证100、深证300、深证50、深证价值、深证创新、深证治理、珠三角、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,82,行业位置：通信设备/系统设备；相关概念：5G概念、6G概念、AI医疗、AI手机PC、AI智能体；风格标签：MSCI成份、保险重仓、北上重仓、回购计划；指数归属：300ESG、300非周、中华A80、中证100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sh600522,通信设备,光纤光缆,5G概念、6G概念、BIPV概念、CPO概念、DeepSeek、PVDF概念、一带一路、东数西算、云计算、低空经济、储能、光伏、光通信、可控核变、商业航天、固态电池、工业互联、数据中心、数据要素、新能源车、智能机器、智能电网、核电核能、氢能源、汽车电子、海洋经济、液冷服务、特高压、石墨烯、碳中和、绿色电力、航运概念、芯片、超导概念、超级电容、量子科技、钙钛矿、铜缆连接、锂电池、阿里概念、风电,MSCI中盘、QFII新进、QFII重仓、专项贷款、分拆上市、北上重仓、商誉减值、回购计划、基金重仓、大盘股、密集调研、新进成份、昨成交20、最近情绪、证金汇金、近期强势、近期新高、通达信热、非周期股、高应收款,300ESG、300非周、上证180、上证中盘、中盘价值、中盘成长、中证200、中证800、国证价值、国证成长、国证算力、央视50、民企100、沪深300、消费100、腾讯济安,中证A500、沪港通SH、融资融券、转融券,81,行业位置：通信设备/光纤光缆；相关概念：5G概念、6G概念、BIPV概念、CPO概念、DeepSeek；风格标签：MSCI中盘、QFII新进、QFII重仓、专项贷款；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券、转融券。
sz002230,软件服务,新兴软件,AIGC概念、AI智能体、ChatGPT、DeepSeek、东数西算、云计算、人工智能、人形机器、人脑工程、元宇宙、华为算力、国产软件、多模态AI、大数据、安防服务、家庭医生、工业互联、数字孪生、数据要素、无线耳机、智慧城市、智慧政务、智能医疗、智能家居、智能机器、智能穿戴、机器视觉、消费电子、算力租赁、英伟达、车联网、量子科技、阿里概念,MSCI成份、分拆上市、北上重仓、基金重仓、大盘股、定增股、股权分散、行业龙头、非周期股、高应收款、高校背景,300ESG、300非周、AI应用50、中创100、中小100、中小300、中证100、中证200、中证800、中证A100、中证A50、创新100、区块链50、国企改革、在线消费、央视50、数字经济、新硬件、沪深300、消费100、深主板50、深证100、深证300、深证50、深证创新、科技100,中证A500、深港通SZ、深证成指、融资融券、转融券,75,行业位置：软件服务/新兴软件；相关概念：AIGC概念、AI智能体、ChatGPT、DeepSeek、东数西算；风格标签：MSCI成份、分拆上市、北上重仓、基金重仓；指数归属：300ESG、300非周、AI应用50、中创100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz002475,元器件,消费电子组件,5G概念、AI眼镜、CPO概念、人形机器、充电桩、数据中心、新能源车、无人驾驶、无线耳机、智能机器、智能穿戴、机器视觉、毫米雷达、汽车电子、消费电子、液冷服务、混合现实、粤港澳、芯片、苹果概念、虚拟现实、通达信88、铜缆连接,MSCI成份、QFII新进、QFII重仓、业绩预增、北上重仓、历史新高、回购计划、基金重仓、大盘股、昨成交20、昨日振荡、海外业务、证金汇金、近期强势、近期新高、通达信热、非周期股、高应收款,300ESG、300非周、MSCIA50、中创100、中华A80、中小100、中小300、中证100、中证800、中证A100、中证A50、国证成长、国证治理、大盘成长、富时A50、新兴成指、民企100、沪深300、消费100、深主板50、深证100、深证300、深证50、深证成长、深证治理、珠三角、银河99,中证A500、含可转债、深港通SZ、深证成指、融资融券、转融券,74,行业位置：元器件/消费电子组件；相关概念：5G概念、AI眼镜、CPO概念、人形机器、充电桩；风格标签：MSCI成份、QFII新进、QFII重仓、业绩预增；指数归属：300ESG、300非周、MSCIA50、中创100；交易属性：中证A500、含可转债、深港通SZ、深证成指。
sz002415,IT设备,安防设备,云计算、人工智能、光通信、养老概念、多模态AI、大数据、存储芯片、安防服务、工业互联、无人机、无人驾驶、智慧城市、智慧政务、智能交通、智能家居、智能机器、机器视觉、汽车电子、物联网、超清视频、边缘计算、通达信88,MSCI成份、专项贷款、分拆上市、北上重仓、基金重仓、大盘股、整体上市、自由现金、行业龙头、证金汇金、非周期股、高分红股、高应收款,300ESG、300非周、中创100、中华A80、中小100、中小300、中证100、中证800、中证A100、中证央企、中证龙头、分析师指、创新100、国企改革、国信价值、国证治理、国证红利、央企100、央视50、富时A50、数字经济、新硬件、沪深300、消费100、深主板50、深证100、深证300、深证50、深证创新、深证治理、深证红利、科技100、长三角,中证A500、深港通SZ、深证成指、融资融券、转融券,73,行业位置：IT设备/安防设备；相关概念：云计算、人工智能、光通信、养老概念、多模态AI；风格标签：MSCI成份、专项贷款、分拆上市、北上重仓；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300476,元器件,PCB,5G概念、CPO概念、OLED概念、PCB概念、东数西算、乡村振兴、人形机器、储能、口罩防护、含H股、小米概念、抖音概念、数据中心、新能源车、智能机器、智能电网、汽车电子、物联网、特斯拉、粤港澳、芯片、英伟达、苹果概念、虚拟现实、通达信88,MSCI中盘、历史新高、基金重仓、大盘股、新进成份、昨成交20、海外业务、百元股、私募重仓、绩优股、近已解禁、近期强势、近期新高、通达信热、非周期股、高市净率,300ESG、300非周、中创100、中证100、中证200、中证800、中证A100、中证A50、中证龙头、创业300、创业大盘、创业板50、创业板指、创成长、创质量、双创50、国证成长、国证算力、大盘成长、新兴成指、沪深300、消费100、深证100、深证300、深证50、深证成长、珠三角、银河99,中证A500、深港通SZ、深证成指、融资融券,73,行业位置：元器件/PCB；相关概念：5G概念、CPO概念、OLED概念、PCB概念、东数西算；风格标签：MSCI中盘、历史新高、基金重仓、大盘股；指数归属：300ESG、300非周、中创100、中证100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz000988,专用机械,激光设备,3D打印、5G概念、6G概念、AI智能体、CPO概念、MicroLED、PCB概念、三代半导、东数西算、乡村振兴、储能、充电桩、先进封装、光通信、创投概念、华为汽车、卫星导航、商业航天、国防军工、基因概念、大飞机、工业母机、折叠屏、数字孪生、数据要素、新型工业、新材料、新能源车、智慧城市、智能家居、智能机器、氢能源、汽车电子、热管理、物联网、特斯拉、百度概念、腾讯概念、芯片、苹果概念、量子科技、钙钛矿、铜缆连接、阿里概念、高压快充、高端装备,MSCI中盘、QFII新进、QFII重仓、专项贷款、大盘股、昨成交20、百元股、社保重仓、绩优股、近期新高、通达信热、非周期股、高校背景,中证A50、国企改革、国证算力、数字经济、新硬件、消费100、深证300,专精特新、中证A500、深港通SZ、深证成指、融资融券、转融券,72,行业位置：专用机械/激光设备；相关概念：3D打印、5G概念、6G概念、AI智能体、CPO概念；风格标签：MSCI中盘、QFII新进、QFII重仓、专项贷款；指数归属：中证A50、国企改革、国证算力、数字经济；交易属性：专精特新、中证A500、深港通SZ、深证成指。
sz000333,家用电器,空调,AI智能体、MCU芯片、一带一路、人形机器、储能、含H股、工业互联、数据中心、智能家居、智能机器、智能电网、液冷服务、热泵概念、热管理、物联网、芯片,MSCI成份、专项贷款、北上重仓、回购计划、基金重仓、大盘股、持续增长、整体上市、绩优股、行业龙头、证金汇金、陆股通重、非周期股、高分红股、高应收款、高股息股,300ESG、300非周、MSCIA50、中华A80、中证100、中证800、中证A100、中证A50、中证回购、中证龙头、分析师指、区块链50、国信价值、国证价值、国证治理、国证红利、大盘价值、央视50、富时A50、新硬件、民企100、沪深300、消费100、深主板50、深证100、深证300、深证50、深证价值、深证治理、深证红利、珠三角、红利低波、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,70,行业位置：家用电器/空调；相关概念：AI智能体、MCU芯片、一带一路、人形机器、储能；风格标签：MSCI成份、专项贷款、北上重仓、回购计划；指数归属：300ESG、300非周、MSCIA50、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300124,电器仪表,工业控制设备,DeepSeek、人工智能、人形机器、储能、小米汽车、工业互联、工业母机、工业软件、换电概念、新型工业、新能源车、智能机器、机器视觉、液冷服务、碳中和、通达信88,MSCI成份、分拆上市、北上重仓、回购计划、基金重仓、大盘股、社保新进、社保重仓、行业龙头、陆股通重、非周期股、高应收款,300ESG、300非周、中创100、中华A80、中证100、中证800、中证A100、中证A50、中证龙头、创业300、创业创新、创业大盘、创业板50、创业板指、创业蓝筹、创新100、创质量、双创50、国证成长、国证治理、大盘成长、央视50、数字经济、新兴成指、新硬件、民企100、沪深300、深证100、深证300、深证50、深证创新、深证成长、深证治理、珠三角、科技100、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,69,行业位置：电器仪表/工业控制设备；相关概念：DeepSeek、人工智能、人形机器、储能、小米汽车；风格标签：MSCI成份、分拆上市、北上重仓、回购计划；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
