股票代码,股票名称,链路,字段,是否必填,预览填写值,预览来源,预览状态
sz002466,天齐锂业,公司概况,核心业务,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,行业地位,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,主营产品,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,主要客户或下游,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,未来方向,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,证据来源.来源类型,是,,巨潮资讯PDF-天齐锂业2025年半年度报告全文,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,证据来源.来源名称,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,证据来源.来源日期,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,证据来源.来源路径或URL,是,,巨潮资讯PDF-天齐锂业2025年半年度报告全文,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,核验状态,是,,系统只生成建议草案，不代替人工核验。,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,核验人,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,核验日期,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,公司概况,人工备注,否,,,无候选值，仍需人工处理
sz002466,天齐锂业,事件风险,核验状态,是,,系统只生成建议草案，不代替人工核验。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,材料标题,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,材料发布日期,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,材料来源名称,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,材料来源URL,是,,巨潮资讯PDF-天齐锂业2025年半年度报告全文,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,事件类型,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,风险等级,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,是否发现新增重大风险,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,是否支持当前前台结论,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,建议前台处理,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,核验摘要,是,,无直接候选片段或候选片段不足。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,核验人,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,核验日期,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,事件风险,人工备注,否,,,无候选值，仍需人工处理
sz002466,天齐锂业,行业景气,核验状态,是,,系统只生成建议草案，不代替人工核验。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,行业指数或价格来源名称,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,行业指数或价格来源URL,是,,巨潮资讯PDF-天齐锂业2025年半年度报告全文,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,数据日期,是,,https://static.cninfo.com.cn/finalpage/2025-08-30/1224628837.PDF,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,正式行业景气判断,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,是否支持现有景气估算,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,样本估算偏差判断,是,,,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,建议前台处理,是,,该字段涉及判断，系统不得直接定性。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,核验摘要,是,,无直接候选片段或候选片段不足。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,核验人,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,核验日期,是,,需人工确认后填写。,候选存在但确认未完成，阻断
sz002466,天齐锂业,行业景气,人工备注,否,,,无候选值，仍需人工处理
