"代码","名称","最新日期","最新收盘","指标来源","所属池","阶段用途","MA5","MA10","MA20","MA60","RSI14","MACD状态","量能状态","支撑位参考","压力位参考","转强线参考","风控线参考","平台突破字段状态","报告技术动作","条件式写法","不允许写法"
"sh600198","大唐电信","2026-04-30","8.36","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池；L6行业主题观察池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口；晚间主输入；行业主题入口","8.23","8.33","8.32","8.85","50.22","动能偏强","量能一般","MA20 8.32","MA60 8.85","MA20 8.32","MA20 8.32","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 3/4 条均线；动能偏强；中性；量能一般","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA20，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh600326","西藏天路","2026-04-30","9.32","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口","9.23","9.26","9.29","10.09","47.73","动能偏强","缩量，确认不足","MA20 9.29","MA60 10.09","MA20 9.29","MA20 9.29","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 3/4 条均线；动能偏强；中性；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA20，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh600580","卧龙电驱","2026-04-30","37.97","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口","37.42","37.87","37.46","40.11","51.78","动能偏强","缩量，确认不足","MA20 37.46","MA60 40.11","MA20 37.46","MA20 37.46","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 3/4 条均线；动能偏强；中性；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA20，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh603259","药明康德","2026-04-30","108.01","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","106.07","102.75","103.65","98.32","53.14","动能偏强","缩量，确认不足","MA20 103.65","均线上方压力不明显，需补前高/平台字段","MA20 103.65","MA60 98.32","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；中性；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh603501","豪威集团","2026-04-30","98.3","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","100.71","96.98","95.14","106.69","55.19","动能偏强","缩量，确认不足","MA20 95.14","MA60 106.69","MA20 95.14","MA20 95.14","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 2/4 条均线；动能偏强；中性；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA20，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh603986","兆易创新","2026-04-30","315.35","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","306.57","303.74","282.88","285.84","74.95","动能偏强","量能一般","MA20 282.88","均线上方压力不明显，需补前高/平台字段","MA20 282.88","MA60 285.84","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏强；量能一般","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh688041","海光信息","2026-04-30","290.4","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","287.89","273.64","253.35","244.46","76.14","动能偏强","缩量，确认不足","MA20 253.35","均线上方压力不明显，需补前高/平台字段","MA20 253.35","MA60 244.46","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏热；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sh688235","百济神州","2026-04-30","234","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口","234.64","238.05","241.71","248.54","39.95","动能偏弱","缩量，确认不足","缺少均线下方支撑","MA20 241.71","MA20 241.71","缺少中期均线参考","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 0/4 条均线；动能偏弱；偏弱；缩量，确认不足","若后续仍能站稳关键均线且量能不降级，可作为观察优先级加分；若跌破风控参考线，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz000657","中钨高新","2026-04-30","59.22","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","55.53","56.48","52.49","53.71","66.76","动能偏强","量能一般","MA20 52.49","均线上方压力不明显，需补前高/平台字段","MA20 52.49","MA60 53.71","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏强；量能一般","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz000906","浙商中拓","2026-04-30","6.38","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口","6.34","6.03","5.88","5.98","74.81","动能偏强","缩量，确认不足","MA20 5.88","均线上方压力不明显，需补前高/平台字段","MA20 5.88","MA60 5.98","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏强；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
