市场位置增强排名,股票代码,名称,原行业,中信行业,中信细分行业,原调整分,市场位置增强分,概念数量,高频主题命中数,高频主题命中,概念板块Top,市场位置摘要
1,sh688256,寒武纪,半导体,半导体,集成电路设计,4.578,4.6851,12,6,东数西算、人工智能、先进封装、数据中心、汽车芯片、芯片,东数西算、人工智能、人脑工程、先进封装、操作系统、数据中心、汽车芯片、算力租赁,行业位置：半导体/集成电路设计；相关概念：东数西算、人工智能、人脑工程、先进封装、操作系统；风格标签：MSCI成份、北上重仓、基金重仓、大盘股；指数归属：300非周、上证180、上证50、上证超大；交易属性：中证A500、沪港通SH、融资融券。
2,sz300782,卓胜微,半导体,半导体,集成电路设计,4.3896,4.5378,11,9,5G概念、先进封装、卫星导航、商业航天、小米概念、智能穿戴、消费电子、物联网,5G概念、6G概念、先进封装、卫星导航、商业航天、小米概念、智能穿戴、消费电子,行业位置：半导体/集成电路设计；相关概念：5G概念、6G概念、先进封装、卫星导航、商业航天；风格标签：MSCI成份、基金减仓、定增股、密集调研；指数归属：300ESG、300非周、中创100、中证200；交易属性：中证A500、深港通SZ、深证成指、融资融券。
3,sz002600,领益智造,计算机、通信和其他电子设备制造业,元器件,消费电子组件,4.1172,4.4777,25,14,5G概念、AI眼镜、CPO概念、人工智能、人形机器、储能、光伏、商业航天,3D打印、5G概念、AI眼镜、CPO概念、人工智能、人形机器、低空经济、储能,行业位置：元器件/消费电子组件；相关概念：3D打印、5G概念、AI眼镜、CPO概念、人工智能；风格标签：MSCI成份、QFII新进、QFII重仓、专项贷款；指数归属：300ESG、300非周、中创100、中小100；交易属性：深港通SZ、深证成指、融资融券。
4,sz300308,中际旭创,通信,通信设备,网络接配及塔设,4.1095,4.4118,11,7,5G概念、CPO概念、光通信、数据中心、汽车电子、液冷服务、芯片,5G概念、CPO概念、光通信、创投概念、数据中心、无人驾驶、汽车电子、液冷服务,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、光通信、创投概念、数据中心；风格标签：MSCI成份、QFII新进、QFII重仓、券商金股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
5,sh688396,华润微,计算机、通信和其他电子设备制造业,半导体,功率半导体,4.0963,4.2183,18,14,MCU芯片、三代半导、储能、先进封装、存储芯片、小米概念、数据中心、新能源车,EDA概念、MCU芯片、三代半导、储能、充电桩、先进封装、存储芯片、小米概念,行业位置：半导体/功率半导体；相关概念：EDA概念、MCU芯片、三代半导、储能、充电桩；风格标签：MSCI中盘、大基金、密集调研、非周期股；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券。
6,sh688008,澜起科技,半导体,半导体,集成电路设计,4.5981,4.1733,7,6,人工智能、含H股、存储芯片、数据中心、消费电子、芯片,云计算、人工智能、含H股、存储芯片、数据中心、消费电子、芯片,行业位置：半导体/集成电路设计；相关概念：云计算、人工智能、含H股、存储芯片、数据中心；风格标签：MSCI成份、北上重仓、历史新高、回购计划；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
7,sh688305,科德数控,机械设备,机床制造,机床制造,4.2362,3.9271,14,6,DeepSeek、商业航天、国防军工、新能源车、智能机器、芯片,DeepSeek、一带一路、低空经济、商业航天、国防军工、大飞机、工业母机、新型工业,行业位置：机床制造/机床制造；相关概念：DeepSeek、一带一路、低空经济、商业航天、国防军工；风格标签：密集调研、承诺不减；指数归属：上证580、科创200、科创高装；交易属性：专精特新、中证2000、国证2000、沪港通SH。
8,sh688126,沪硅产业,计算机、通信和其他电子设备制造业,半导体,半导体材料,4.4981,3.4575,2,2,存储芯片、芯片,存储芯片、芯片,行业位置：半导体/半导体材料；相关概念：存储芯片、芯片；风格标签：MSCI中盘、商誉减值、基金重仓、大基金；指数归属：300非周、上证180、上证中盘、中证200；交易属性：中证A500、沪港通SH、融资融券。
9,sh688281,华秦科技,其他制造业,航空,航空装备,4.1519,2.8559,3,1,国防军工,国防军工、新材料、碳纤维,行业位置：航空/航空装备；相关概念：国防军工、新材料、碳纤维；风格标签：股权激励；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：中证500、沪港通SH、融资融券。
10,sh688301,奕瑞科技,专用设备制造业,医疗保健,医疗设备,4.0832,2.8249,1,1,芯片,芯片,行业位置：医疗保健/医疗设备；相关概念：芯片；风格标签：回购计划、拟减持、百元股、近已解禁；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：专精特新、中证500、含可转债、沪港通SH。
