股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688012,中微公司,公司概况,核心业务,是,公司主要从事高端半导体设备及泛半导体设备的研发、生产和销售，覆盖半导体集成电路制造、先进封装、LED外延片、功率器件、MEMS及其他微观工艺设备领域。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,行业地位,是,公司处于国内半导体前道设备核心环节的领先阵营；刻蚀设备已应用于3纳米及以下集成电路生产线，MOCVD设备自2017年起在氮化镓基LED市场保持领先地位。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,主营产品,是,主要产品包括CCP高能等离子体刻蚀设备、ICP低能等离子体刻蚀设备、LPCVD/ALD/EPI等薄膜沉积设备、MOCVD设备，并布局光学和电子束量检测设备及泛半导体微观加工设备。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,主要客户或下游,是,下游客户主要为集成电路、LED外延片、功率器件、MEMS、先进封装等半导体产品制造企业；公司销售和支持覆盖中国大陆、中国台湾、韩国、日本、新加坡、美国等区域。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,未来方向,是,继续扩展刻蚀、薄膜沉积、MOCVD、量检测及湿法设备平台，推进先进逻辑、先进存储、功率器件、Micro-LED和高端显示等客户验证及量产应用。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,证据来源.来源类型,是,上市公司定期报告、交易所公告和行业协会公开数据,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源名称,是,中微公司2025年年度报告；中微公司2026年第一季度报告；SEMI全球半导体设备市场数据,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源日期,是,2026-03-31；2026-04-28；2026-04-07,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源路径或URL,是,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/688012_20260331_3UTD.pdf；https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/688012_20260428_O2GX.pdf；https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,公司概况,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688012,中微公司,公司概况,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,公司概况,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,公司概况,人工备注,否,已清除上一轮龙芯残留内容；本条只提炼公司公开事实，不构成推荐或买卖建议。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,事件风险,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688012,中微公司,事件风险,材料标题,是,中微公司2025年年度报告及2026年第一季度报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料发布日期,是,2026-03-31；2026-04-28,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料来源名称,是,上海证券交易所信息披露公告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料来源URL,是,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/688012_20260331_3UTD.pdf；https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/688012_20260428_O2GX.pdf,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,事件风险,事件类型,是,定期报告、经营风险和行业风险核验,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688012,中微公司,事件风险,风险等级,是,中,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688012,中微公司,事件风险,是否发现新增重大风险,是,否,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,事件风险,是否支持当前前台结论,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,事件风险,建议前台处理,是,可维持研究关注，但前台必须保留行业周期、客户资本开支波动、扩产不及预期、国际贸易摩擦、供应链和知识产权风险提示。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688012,中微公司,事件风险,核验摘要,是,年报提示报告期内不存在对生产经营产生实质性影响的特别重大风险，但仍披露核心竞争力、客户资本开支波动、下游扩产不及预期、国际贸易摩擦、上游供应链、宏观周期和知识产权等风险。一季报显示收入和净利润同比增长较快，但经营现金流同比下降，需继续跟踪订单、交付和现金流。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
